component,kind,version_used,version_source,sbom_versionInfo,cpe_version,version_conflict,matchable,unresolved_reason,oe_current_version,behind_oe,total_cves,kev,with_exploit,NVD,Debian,Ubuntu,Alpine,OSV,crates.io/RustSec,GHSA,cve_list
libjpeg-turbo,native,2.1.0,resolved-from-AOSP-source,ad8b3b0f84baf155f3bde5626c3bf9d20535bcae,2.1.0,,YES,,3.2.0,YES,35,0,1,0,1,35,1,0,0,0,CVE-2012-2806;CVE-2013-6629;CVE-2013-6630;CVE-2016-6702;CVE-2017-15232;CVE-2017-9614;CVE-2018-10126;CVE-2018-1152;CVE-2019-13960;CVE-2019-2201;CVE-2020-13790;CVE-2020-14153;CVE-2020-17541;CVE-2020-35538;CVE-2021-0384;CVE-2021-20205;CVE-2021-29390;CVE-2021-39514;CVE-2021-39515;CVE-2021-39516;CVE-2021-39517;CVE-2021-39518;CVE-2021-39519;CVE-2021-39520;CVE-2021-46822;CVE-2022-31620;CVE-2022-31796;CVE-2022-32201;CVE-2022-32202;CVE-2022-32978;CVE-2022-35166;CVE-2022-37768;CVE-2022-37769;CVE-2022-37770;CVE-2023-2804
skia,native,112,resolved-from-AOSP-source,f24059cf165ab84fd46f4caa6df72d0ec55393a4,,,YES,,,,34,0,0,0,0,34,0,0,0,0,CVE-2018-18511;CVE-2019-5785;CVE-2026-10009;CVE-2026-10011;CVE-2026-10012;CVE-2026-10020;CVE-2026-13781;CVE-2026-13820;CVE-2026-13841;CVE-2026-13885;CVE-2026-13971;CVE-2026-14387;CVE-2026-14389;CVE-2026-14410;CVE-2026-14414;CVE-2026-14419;CVE-2026-14427;CVE-2026-14429;CVE-2026-15766;CVE-2026-15774;CVE-2026-6298;CVE-2026-6364;CVE-2026-7920;CVE-2026-7923;CVE-2026-7949;CVE-2026-8510;CVE-2026-8579;CVE-2026-9892;CVE-2026-9893;CVE-2026-9909;CVE-2026-9923;CVE-2026-9981;CVE-2026-9983;CVE-2026-9998
libexif,native,0.6.21,sbom versionInfo,0.6.21,,,YES,,0.6.26,YES,26,0,1,13,6,21,10,0,0,0,CVE-2005-0664;CVE-2006-4168;CVE-2007-2645;CVE-2012-2812;CVE-2012-2813;CVE-2012-2814;CVE-2012-2836;CVE-2012-2837;CVE-2012-2840;CVE-2012-2841;CVE-2016-6328;CVE-2017-7544;CVE-2018-20030;CVE-2019-9278;CVE-2020-0093;CVE-2020-0181;CVE-2020-0182;CVE-2020-0198;CVE-2020-0452;CVE-2020-12767;CVE-2020-13112;CVE-2020-13113;CVE-2020-13114;CVE-2026-32775;CVE-2026-40385;CVE-2026-40386
ICU,native,72,sbom versionInfo,72,,,YES,,78.3,YES,22,0,2,0,0,22,1,0,0,0,CVE-2007-4770;CVE-2007-4771;CVE-2008-1036;CVE-2009-0153;CVE-2011-4599;CVE-2013-2924;CVE-2014-6585;CVE-2014-6591;CVE-2014-8146;CVE-2014-8147;CVE-2014-9654;CVE-2015-1270;CVE-2015-2632;CVE-2015-5922;CVE-2017-14952;CVE-2017-17484;CVE-2017-7867;CVE-2017-7868;CVE-2018-18928;CVE-2020-10531;CVE-2024-32752;CVE-2025-5222
libpcre2,native,10.42,sbom versionInfo,pcre2-10.42,,,YES,,10.47,YES,21,0,0,0,1,21,1,0,0,0,CVE-2015-2327;CVE-2015-2328;CVE-2015-8380;CVE-2015-8382;CVE-2015-8383;CVE-2015-8384;CVE-2015-8385;CVE-2015-8386;CVE-2015-8387;CVE-2015-8388;CVE-2015-8389;CVE-2015-8390;CVE-2015-8391;CVE-2015-8392;CVE-2015-8393;CVE-2015-8394;CVE-2015-8395;CVE-2016-1283;CVE-2017-13846;CVE-2022-41409;CVE-2025-58050
elfutils,native,0.188,sbom versionInfo,elfutils-0.188,,,YES,,0.195,YES,19,0,0,0,7,19,0,0,0,0,CVE-2014-0172;CVE-2014-9447;CVE-2014-9486;CVE-2016-10254;CVE-2016-10255;CVE-2017-7607;CVE-2017-7608;CVE-2017-7610;CVE-2017-7611;CVE-2017-7612;CVE-2017-7613;CVE-2018-8769;CVE-2024-25260;CVE-2025-1352;CVE-2025-1365;CVE-2025-1371;CVE-2025-1372;CVE-2025-1376;CVE-2025-1377
lzma,native,19.00,sbom versionInfo,19.00,,,YES,,,,17,1,0,17,0,0,0,0,0,0,CVE-2022-29072;CVE-2023-31102;CVE-2024-11477;CVE-2025-0411;CVE-2025-53816;CVE-2025-53817;CVE-2025-55188;CVE-2026-14266;CVE-2026-48092;CVE-2026-48095;CVE-2026-48101;CVE-2026-48102;CVE-2026-48103;CVE-2026-48104;CVE-2026-48111;CVE-2026-48112;CVE-2026-58052
ipsec-tools,native,0.7.3,sbom versionInfo,0.7.3,,,YES,,,,14,0,1,0,0,14,0,0,0,0,CVE-2004-0155;CVE-2004-0403;CVE-2005-0398;CVE-2005-3732;CVE-2007-1841;CVE-2008-1198;CVE-2008-3651;CVE-2008-3652;CVE-2009-1574;CVE-2009-1632;CVE-2012-3727;CVE-2015-4047;CVE-2016-10396;CVE-2018-5389
protobuf,native,21.7,sbom versionInfo,v21.7,3.21.7,YES,YES,,,,13,0,0,1,1,12,0,0,0,0,CVE-2015-5237;CVE-2021-3121;CVE-2022-33070;CVE-2022-48468;CVE-2023-24535;CVE-2024-2410;CVE-2024-24786;CVE-2024-7254;CVE-2025-4565;CVE-2025-53605;CVE-2026-0994;CVE-2026-41242;CVE-2026-6409
webp,native,1.3.0,sbom versionInfo,v1.3.0,,,YES,,1.6.0,YES,13,1,0,2,0,13,1,0,0,0,CVE-2018-25009;CVE-2018-25010;CVE-2018-25011;CVE-2018-25012;CVE-2018-25013;CVE-2018-25014;CVE-2020-36328;CVE-2020-36329;CVE-2020-36330;CVE-2020-36331;CVE-2020-36332;CVE-2023-1999;CVE-2023-4863
