component,kind,version_used,version_source,sbom_versionInfo,cpe_version,version_conflict,matchable,unresolved_reason,oe_current_version,behind_oe,total_cves,kev,with_exploit,NVD,Debian,Ubuntu,Alpine,OSV,crates.io/RustSec,GHSA,cve_list
bzip2,native,1.0.8,sbom versionInfo,bzip2-1.0.8,,,YES,,1.0.8,,10,0,1,0,1,10,0,0,0,0,CVE-2005-0758;CVE-2005-0953;CVE-2005-1260;CVE-2008-1372;CVE-2009-1884;CVE-2010-0405;CVE-2011-4089;CVE-2019-12900;CVE-2023-22895;CVE-2026-42250
ppp,native,2.4.7,sbom versionInfo,ppp-2.4.7,,,YES,,2.5.3,YES,10,0,0,2,5,10,2,0,0,0,CVE-2004-0564;CVE-2006-2194;CVE-2008-5366;CVE-2008-5367;CVE-2014-3158;CVE-2018-11574;CVE-2020-15704;CVE-2020-8597;CVE-2022-4603;CVE-2024-58250
zlib,native,1.2.13,resolved-from-AOSP-source,fa5dc4750029333c2486efa38eec7d13890108ed,,,YES,,1.3.2,YES,10,0,1,3,2,9,2,0,0,0,CVE-2004-0797;CVE-2005-1849;CVE-2005-2096;CVE-2009-1391;CVE-2018-25032;CVE-2022-42800;CVE-2023-45853;CVE-2026-22184;CVE-2026-27171;CVE-2026-3381
iperf3,native,3.9,sbom versionInfo,3.9,,,YES,,,,9,0,0,0,0,9,3,0,0,0,CVE-2023-26306;CVE-2023-38403;CVE-2023-7250;CVE-2024-26306;CVE-2024-53580;CVE-2025-54349;CVE-2025-54350;CVE-2025-54351;CVE-2026-67216
lua,native,5.4.1,sbom versionInfo,5.4.1,,,YES,,5.5.0,YES,9,0,0,5,6,8,1,0,0,0,CVE-2020-15889;CVE-2021-32921;CVE-2021-43519;CVE-2021-44647;CVE-2021-44964;CVE-2021-45985;CVE-2022-28805;CVE-2022-33099;CVE-2025-49844
libpcap,native,1.10.3,sbom versionInfo,libpcap-1.10.3,,,YES,,1.10.6,YES,8,0,0,2,3,8,0,0,0,0,CVE-2019-15161;CVE-2019-15162;CVE-2019-15163;CVE-2019-15164;CVE-2023-7256;CVE-2024-8006;CVE-2025-11961;CVE-2025-11964
f2fs-tools,native,1.16.0,resolved-from-AOSP-source,06c027abc6153c4a97cba5317844e8dcaaee3cf7,,,YES,,,,7,0,0,0,0,7,0,0,0,0,CVE-2018-9543;CVE-2020-6070;CVE-2020-6104;CVE-2020-6105;CVE-2020-6106;CVE-2020-6107;CVE-2020-6108
e2fsprogs,native,1.46.6,sbom versionInfo,v1.46.6,,,YES,,1.47.4,YES,6,0,0,0,0,6,0,0,0,0,CVE-2007-5497;CVE-2015-0247;CVE-2015-1572;CVE-2019-5094;CVE-2019-5188;CVE-2022-1304
harfbuzz_ng,native,6.0.0,sbom versionInfo,6.0.0,,,YES,,14.3.0,YES,6,0,0,2,3,5,0,0,0,0,CVE-2021-45931;CVE-2022-33068;CVE-2023-25193;CVE-2024-56732;CVE-2026-0943;CVE-2026-22693
libbpf,native,0.7,resolved-from-AOSP-source,9fab7c81ecd462ce6aa1eabd24b230f0fc6a14c7,,,YES,,,,6,0,0,0,4,5,0,0,0,0,CVE-2021-45940;CVE-2021-45941;CVE-2022-3533;CVE-2022-3534;CVE-2022-3606;CVE-2025-29481
libevent,native,2.1.12,sbom versionInfo,release-2.1.12-stable,,,YES,,2.1.13,YES,5,0,0,0,0,5,0,0,0,0,CVE-2007-1030;CVE-2014-6272;CVE-2016-10195;CVE-2016-10196;CVE-2016-10197
lz4,native,1.9.4,sbom versionInfo,v1.9.4,,,YES,,1.10.0,YES,5,0,0,1,0,4,0,0,0,0,CVE-2014-4715;CVE-2025-12183;CVE-2025-62813;CVE-2025-66566;CVE-2026-32829
iptables,native,1.8.7,sbom versionInfo,v1.8.7,,,YES,,1.8.13,YES,4,0,0,0,1,4,0,0,0,0,CVE-2004-0986;CVE-2012-2663;CVE-2015-8326;CVE-2020-0347
libcap,native,2.53,sbom versionInfo,libcap-2.53,,,YES,,2.78,YES,4,0,0,0,1,4,1,0,0,0,CVE-2023-2602;CVE-2023-2603;CVE-2025-1390;CVE-2026-4878
virglrenderer,native,0.10.4,sbom versionInfo,0.10.4,,,YES,,1.3.0,YES,4,0,0,0,0,4,0,0,0,0,CVE-2017-9021;CVE-2022-0135;CVE-2022-0175;CVE-2025-2509
tinyxml2,native,9.0.0,sbom versionInfo,9.0.0,,,YES,,,,3,0,0,2,3,3,0,0,0,0,CVE-2018-11210;CVE-2024-50614;CVE-2024-50615
brotli,native,1.0.9,sbom versionInfo,v1.0.9,,,YES,,,,2,0,0,0,0,2,0,0,0,0,CVE-2020-36846;CVE-2020-8927
erofs-utils,native,1.5,sbom versionInfo,v1.5,,,YES,,1.9.3,YES,2,0,0,0,2,2,0,0,0,0,CVE-2023-33551;CVE-2023-33552
iproute2,native,4.14.1,sbom versionInfo,v4.14.1,3.4.0,YES,YES,,7.1.0,YES,2,0,0,1,1,2,1,0,0,0,CVE-2019-20795;CVE-2022-3593
jsoncpp,native,1.9.5,sbom versionInfo,1.9.5,1.9.4,YES,YES,,,,2,0,0,0,0,2,0,0,0,0,CVE-2018-17850;CVE-2018-17851
libnl,native,3.7.0,sbom versionInfo,libnl3_7_0,,,YES,,3.12.0,YES,2,0,0,0,0,2,0,0,0,0,CVE-2017-0553;CVE-2022-20385
zstd,native,1.5.2,sbom versionInfo,v1.5.2,,,YES,,1.5.7,YES,2,0,0,0,1,2,0,0,0,0,CVE-2021-24032;CVE-2022-4899
bytes,rust,1.4.0,sbom versionInfo,1.4.0,,,YES,,,,1,0,0,0,0,0,0,1,1,1,CVE-2026-25541
chrono,rust,0.4.19,sbom versionInfo,0.4.19,,,YES,,,,1,0,0,0,0,0,0,0,1,0,CVE-2020-26235
exfatprogs,native,1.1.0,sbom versionInfo,1.1.0,,,YES,,,,1,0,0,0,0,1,0,0,0,0,CVE-2023-45897
extern/abseil-cpp,native,20200923.2,sbom versionInfo,20200923.2,,,YES,,,,1,0,0,0,0,1,0,0,0,0,CVE-2025-0838
libopus,native,1.3.1,resolved-from-AOSP-source,8cf872a186b96085b1bb3a547afd598354ebeb87,1.0.3,YES,YES,,,,1,0,0,0,0,1,0,0,0,0,CVE-2022-47021
mio,rust,0.8.6,sbom versionInfo,0.8.6,,,YES,,,,1,0,0,0,0,0,0,1,1,1,CVE-2024-27308
toybox,native,0.8.9,resolved-from-AOSP-source,d45ee3a2bc6271110312f01be867a9b6b91dd07f,,,YES,,,,1,0,0,0,0,1,0,0,0,0,CVE-2022-32298
ARM-software/optimized-routines,native,23.01,sbom versionInfo,v23.01,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
BCC,native,,NONE,a39e181eaf7111f5a5416752a5757891278f17fa,,,NO,"opaque AOSP snapshot, no version marker",,,0,0,0,0,0,0,0,0,0,0,
FFT,native,,NONE,2006/12/28,,,NO,"versionInfo is a date (2006/12/28), not a release version",,,0,0,0,0,0,0,0,0,0,0,
GWP-ASan,native,,NONE,8f5e1755ca385566c0352a9bd292218cebfd3d0b,,,NO,LLVM-derived allocator shipped in-tree; versioned with the toolchain,,,0,0,0,0,0,0,0,0,0,0,
OpenCSD,native,1.4.0,sbom versionInfo,v1.4.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
Scudo Standalone,native,,NONE,161cca266a9d0b6deb5f1fd2de8ad543649a7fa1,,,NO,LLVM-derived allocator shipped in-tree; versioned with the toolchain,,,0,0,0,0,0,0,0,0,0,0,
Wuffs Mirror Release C,native,,NONE,a0e2454f0c21369f9775cad3bcaf1e3bb1db70b6,,,NO,"mirror snapshot, no release version",,,0,0,0,0,0,0,0,0,0,0,
android_log-sys,rust,0.2.0,sbom versionInfo,0.2.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
android_logger,rust,0.12.0,sbom versionInfo,0.12.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
anyhow,rust,1.0.69,sbom versionInfo,1.0.69,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
argh,rust,0.1.10,sbom versionInfo,0.1.10,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
argh_shared,rust,0.1.10,sbom versionInfo,0.1.10,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
async_task,rust,4.3.0,sbom versionInfo,4.3.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
atomic,rust,0.5.1,sbom versionInfo,0.5.1,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
beto-rust,native,,NONE,cf6c62c6e28c808634a13a7be092edef40ec6104,,,NO,"Google internal project snapshot, no release version",,,0,0,0,0,0,0,0,0,0,0,
bitflags,rust,1.3.2,sbom versionInfo,1.3.2,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
byteorder,rust,1.4.3,sbom versionInfo,1.4.3,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
cfg-if,rust,1.0.0,sbom versionInfo,1.0.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
clap,rust,4.1.8,sbom versionInfo,4.1.8,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
clap_lex,rust,0.3.2,sbom versionInfo,0.3.2,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
crc32fast,rust,1.3.2,sbom versionInfo,1.3.2,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
crossbeam-utils,rust,0.8.15,sbom versionInfo,0.8.15,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
downcast-rs,rust,1.2.0,sbom versionInfo,1.2.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
dynamic_depth,native,,NONE,222429857,,,NO,"opaque build id 222429857, not a release version",,,0,0,0,0,0,0,0,0,0,0,
eigen,native,3.4.0,sbom versionInfo,3.4.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
env_logger,rust,0.10.0,sbom versionInfo,0.10.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
fastrand,rust,1.9.0,sbom versionInfo,1.9.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
fec,native,3.0.1,sbom versionInfo,3.0.1,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
flatbuffers,native,2.0.7,sbom versionInfo,v2.0.7,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
flate2,rust,1.0.25,sbom versionInfo,1.0.25,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
fmtlib,native,7.1.3,sbom versionInfo,7.1.3,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
fnv,rust,1.0.7,sbom versionInfo,1.0.7,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
fsck_msdos,native,,NONE,b60894b10adb071a8dc2b6fea5f9867c24bc9c47,,,NO,"BSD-derived AOSP snapshot, no upstream release version",,,0,0,0,0,0,0,0,0,0,0,
fsverity-utils,native,,NONE,20e87c13075a8e5660a8d69fd6c93d4f7c5f01a5,,,NO,no version marker at pinned commit,,,0,0,0,0,0,0,0,0,0,0,
futures,rust,0.3.26,sbom versionInfo,0.3.26,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
futures-channel,rust,0.3.26,sbom versionInfo,0.3.26,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
futures-core,rust,0.3.26,sbom versionInfo,0.3.26,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
futures-executor,rust,0.3.26,sbom versionInfo,0.3.26,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
futures-io,rust,0.3.26,sbom versionInfo,0.3.26,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
futures-sink,rust,0.3.26,sbom versionInfo,0.3.26,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
futures-task,rust,0.3.26,sbom versionInfo,0.3.26,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
futures-util,rust,0.3.26,sbom versionInfo,0.3.26,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
gavinhoward/bc,native,6.5.0,sbom versionInfo,6.5.0,,,YES,,1.08.2,,0,0,0,0,0,0,0,0,0,0,
gdbstub,rust,0.6.4,sbom versionInfo,0.6.4,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
gdbstub_arch,rust,0.2.4,sbom versionInfo,0.2.4,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
getrandom,rust,0.2.8,sbom versionInfo,0.2.8,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
gflags,native,2.2.2,sbom versionInfo,v2.2.2,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
google-benchmark,native,,NONE,ea5a5bbff491fd625c6e3458f6edd680b8bd5452,,,NO,no version marker at pinned commit (test-only dependency),,,0,0,0,0,0,0,0,0,0,0,
googletest,native,,NONE,609281088cfefc76f9d0ce82e1ff6c30cc3591e5,,,NO,no version marker at pinned commit (test-only dependency),,,0,0,0,0,0,0,0,0,0,0,
gptfdisk,native,1.0.9.2,resolved-from-AOSP-source,cb4bf320748f701a0ed835d4a410f2960f1ce0bd,,,YES,,1.0.10,YES,0,0,0,0,0,0,0,0,0,0,
image_io,native,,NONE,222429857,,,NO,"opaque build id 222429857, not a release version",,,0,0,0,0,0,0,0,0,0,0,
intrusive-collections,rust,0.9.5,sbom versionInfo,0.9.5,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
itoa,rust,1.0.5,sbom versionInfo,1.0.5,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
lazy_static,rust,1.4.0,sbom versionInfo,1.4.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
libc,rust,0.2.139,sbom versionInfo,0.2.139,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
libdrm,native,2.4.109,sbom versionInfo,libdrm-2.4.109,,,YES,,2.4.134,YES,0,0,0,0,0,0,0,0,0,0,
libepoxy,native,1.5.10,sbom versionInfo,1.5.10,,,YES,,1.5.10,,0,0,0,0,0,0,0,0,0,0,
libgsm,native,1.0.18,sbom versionInfo,1.0.18,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
liburing,native,2.2,sbom versionInfo,2.2,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
libyuv,native,1837,resolved-from-AOSP-source,d53f1beecdd8d959f7a3f2e19bd0bd7e7227a233,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
libz-sys,rust,1.1.8,sbom versionInfo,1.1.8,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
log,rust,0.4.17,sbom versionInfo,0.4.17,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
macaddr,rust,1.0.1,sbom versionInfo,1.0.1,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
managed,rust,0.8.0,sbom versionInfo,0.8.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
marisa-trie,native,0.2.6,sbom versionInfo,v0.2.6,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
memchr,rust,2.4.1,sbom versionInfo,2.4.1,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
memoffset,rust,0.8.0,sbom versionInfo,0.8.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
minimal-lexical,rust,0.2.1,sbom versionInfo,0.2.1,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
mksh,native,R59c,sbom versionInfo,mksh-R59c,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
newfs_msdos,native,,NONE,6424881cc82a65a833fc6fb79730474caedf6222,,,NO,"BSD-derived AOSP snapshot, no upstream release version",,,0,0,0,0,0,0,0,0,0,0,
nix,rust,0.26.2,sbom versionInfo,0.26.2,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
nom,rust,7.1.3,sbom versionInfo,7.1.3,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
num-integer,rust,0.1.45,sbom versionInfo,0.1.45,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
num-traits,rust,0.2.15,sbom versionInfo,0.2.15,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
num_cpus,rust,1.15.0,sbom versionInfo,1.15.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
once_cell,rust,1.17.1,sbom versionInfo,1.17.1,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
one-true-awk,native,20221215,resolved-from-AOSP-source,5e49ea4d1f71d9134734011f2151cae4dbec5e5f,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
os_str_bytes,rust,6.4.1,sbom versionInfo,6.4.1,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
piex,native,0.27,sbom versionInfo,v0.27,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
pin-project-lite,rust,0.2.9,sbom versionInfo,0.2.9,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
pin-utils,rust,0.1.0,sbom versionInfo,0.1.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
ppv-lite86,rust,0.2.17,sbom versionInfo,0.2.17,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
rand,rust,0.8.5,sbom versionInfo,0.8.5,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
rand_chacha,rust,0.3.1,sbom versionInfo,0.3.1,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
rand_core,rust,0.6.4,sbom versionInfo,0.6.4,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
remove_dir_all,rust,0.7.0,sbom versionInfo,0.7.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
rustc-demangle-capi,rust,0.1.0,sbom versionInfo,0.1.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
ryu,rust,1.0.13,sbom versionInfo,1.0.13,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
selinux,native,3.5,sbom versionInfo,3.5,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
serde,rust,1.0.152,sbom versionInfo,1.0.152,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
serde_json,rust,1.0.93,sbom versionInfo,1.0.93,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
slab,rust,0.4.8,sbom versionInfo,0.4.8,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
smallvec,rust,1.10.0,sbom versionInfo,1.10.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
socket2,rust,0.4.7,sbom versionInfo,0.4.7,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
sonic,native,,NONE,60eeb064f62a106069d2ce148fabd724f9df9780,,,NO,"opaque AOSP snapshot, no version marker",,,0,0,0,0,0,0,0,0,0,0,
speex,native,1.2.1,sbom versionInfo,SpeexDSP-1.2.1,,,YES,,1.2.1,,0,0,0,0,0,0,0,0,0,0,
static_assertions,rust,1.1.0,sbom versionInfo,1.1.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
tempfile,rust,3.3.0,sbom versionInfo,3.3.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
termcolor,rust,1.2.0,sbom versionInfo,1.2.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
tflite-support,native,0.1.0,sbom versionInfo,v0.1.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
thiserror,rust,1.0.38,sbom versionInfo,1.0.38,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
tokio,rust,1.25.0,sbom versionInfo,1.25.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
utf,native,1.1,sbom versionInfo,1.1,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
uuid,rust,1.3.0,sbom versionInfo,1.3.0,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
xz-embedded,native,,NONE,3f438e15109229bb14ab45f285f4bff5412a9542,,,NO,"xz-embedded is a separate minimal decoder project, not xz-utils; it carries no release version. NOT in scope for xz-utils CVEs (incl. CVE-2024-3094).",,,0,0,0,0,0,0,0,0,0,0,
zerocopy,rust,0.6.1,sbom versionInfo,0.6.1,,,YES,,,,0,0,0,0,0,0,0,0,0,0,
zip,rust,0.6.4,sbom versionInfo,0.6.4,,,YES,,3.0,YES,0,0,0,0,0,0,0,0,0,0,
